fold,acc,auroc,mode,N,layer
3,0.9910714285714286,1.0,register,64,22
4,0.9910714285714286,0.9996811224489796,register,64,22
0,1.0,1.0,register,64,24
1,0.9464285714285714,0.9923469387755103,register,64,24
2,0.9821428571428571,0.9996811224489796,register,64,24
3,0.9910714285714286,0.9996811224489796,register,64,24
4,0.9910714285714286,0.9996811224489796,register,64,24
0,0.9910714285714286,1.0,register,64,26
1,0.9553571428571429,0.9907525510204082,register,64,26
2,0.9910714285714286,0.9977678571428571,register,64,26
3,0.9910714285714286,0.9993622448979591,register,64,26
4,1.0,1.0,register,64,26
0,0.9910714285714286,1.0,register,64,28
1,0.9553571428571429,0.9942602040816326,register,64,28
2,0.9910714285714286,0.9996811224489796,register,64,28
3,0.9910714285714286,0.9993622448979591,register,64,28
4,1.0,1.0,register,64,28
0,0.6339285714285714,0.703125,register,128,0
1,0.6607142857142857,0.7211415816326531,register,128,0
2,0.7053571428571429,0.7992665816326531,register,128,0
3,0.7410714285714286,0.8043686224489797,register,128,0
4,0.6875,0.7755102040816327,register,128,0
0,0.9642857142857143,0.9964923469387755,register,128,2
1,0.9732142857142857,0.9945790816326531,register,128,2
2,0.9553571428571429,0.9945790816326531,register,128,2
3,0.9910714285714286,0.998405612244898,register,128,2
4,0.9732142857142857,0.9948979591836735,register,128,2
0,0.9732142857142857,0.9952168367346939,register,128,4
1,0.9821428571428571,0.9818239795918368,register,128,4
2,0.9821428571428571,0.9993622448979592,register,128,4
3,0.9464285714285714,0.9942602040816326,register,128,4
4,0.9821428571428571,0.9980867346938775,register,128,4
0,0.9553571428571429,0.9926658163265306,register,128,6
1,0.9553571428571429,0.9754464285714286,register,128,6
2,0.9732142857142857,0.9948979591836734,register,128,6
3,0.9464285714285714,0.9910714285714286,register,128,6
4,0.9642857142857143,0.9929846938775511,register,128,6
0,0.9553571428571429,0.9964923469387754,register,128,8
1,0.9732142857142857,0.9856505102040816,register,128,8
2,0.9642857142857143,0.9977678571428571,register,128,8
3,0.9642857142857143,0.9945790816326531,register,128,8
4,0.9821428571428571,0.9993622448979592,register,128,8
0,0.9464285714285714,0.9923469387755102,register,128,10
1,0.9464285714285714,0.9818239795918368,register,128,10
2,0.9553571428571429,0.9958545918367347,register,128,10
3,0.9553571428571429,0.9939413265306123,register,128,10
4,0.9553571428571429,0.9964923469387755,register,128,10
0,0.9821428571428571,0.9993622448979592,register,128,12
1,0.9821428571428571,0.9990433673469388,register,128,12
2,0.9821428571428571,0.9987244897959184,register,128,12
3,0.9910714285714286,1.0,register,128,12
4,0.9732142857142857,0.9996811224489796,register,128,12
0,0.9642857142857143,0.9939413265306122,register,128,14
1,0.9821428571428571,0.9936224489795918,register,128,14
2,0.9821428571428571,0.9977678571428571,register,128,14
3,0.9285714285714286,0.9955357142857143,register,128,14
4,0.9642857142857143,0.9971301020408163,register,128,14
0,0.9642857142857143,0.9987244897959184,register,128,16
1,0.9910714285714286,0.9993622448979591,register,128,16
2,0.9910714285714286,1.0,register,128,16
3,0.9821428571428571,0.9990433673469388,register,128,16
4,0.9553571428571429,0.9971301020408163,register,128,16
0,0.9910714285714286,1.0,register,128,18
1,0.9821428571428571,1.0,register,128,18
2,1.0,1.0,register,128,18
3,1.0,1.0,register,128,18
4,1.0,1.0,register,128,18
0,0.9910714285714286,0.9987244897959184,register,128,20
1,0.9821428571428571,0.9993622448979592,register,128,20
2,0.9910714285714286,1.0,register,128,20
3,0.9910714285714286,0.9996811224489796,register,128,20
4,1.0,1.0,register,128,20
0,0.9732142857142857,0.9987244897959184,register,128,22
1,0.9732142857142857,0.9990433673469388,register,128,22
2,0.9910714285714286,0.9987244897959183,register,128,22
3,0.9821428571428571,0.9996811224489796,register,128,22
4,0.9910714285714286,0.9993622448979592,register,128,22
0,0.9732142857142857,0.9952168367346939,register,128,24
1,0.9732142857142857,0.998405612244898,register,128,24
2,0.9821428571428571,0.9961734693877551,register,128,24
3,0.9821428571428571,0.9990433673469388,register,128,24
4,0.9821428571428571,0.9987244897959183,register,128,24
0,0.9732142857142857,0.9964923469387754,register,128,26
1,0.9732142857142857,0.9977678571428571,register,128,26
2,0.9910714285714286,0.9980867346938775,register,128,26
3,0.9910714285714286,1.0,register,128,26
4,0.9821428571428571,0.9993622448979592,register,128,26
0,0.9821428571428571,0.9974489795918368,register,128,28
1,0.9732142857142857,0.9977678571428572,register,128,28
2,0.9732142857142857,0.9977678571428571,register,128,28
3,0.9910714285714286,0.9996811224489796,register,128,28
4,0.9821428571428571,0.9990433673469388,register,128,28
